"Mouse_ID","Year","FEC_Eim_Ct","MC.Eimeria.FEC","delta_ct_cewe_MminusE","MC.Eimeria","OPG","MCs"
"AA_0700",2019,"29.7960223470047",FALSE,-9.39,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0701",2019,"28.1249765794681",FALSE,-8.93666666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0702",2019,"30.2298790400684",FALSE,-9.81833333333334,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0703",2019,"31.1259729482561",FALSE,-8.85666666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0704",2019,"29.5782075916942",FALSE,-9.41,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0705",2019,"34.2925195280331",FALSE,-11.72,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0706",2019,"32.8583393384615",FALSE,-10.6733333333333,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0707",2019,"34.9960585552295",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0708",2019,"32.1561373864394",FALSE,-10.93,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0710",2019,"33.064673125417",FALSE,-9.35333333333333,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0711",2019,"29.6258354464358",FALSE,-7.56666666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0712",2019,"30.6801454815978",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0713",2019,"28.5636097580603",FALSE,-9.58833333333333,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0714",2019,"34.3315804346152",FALSE,-11.4216666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0715",2019,"31.7341113314001",FALSE,-10.4166666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0716",2019,"30.4668639335591",FALSE,-8.90666666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0718",2019,"27.1420807239385",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0722",2019,"31.2615365074107",FALSE,-6.83333333333333,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0723",2019,"34.8240377759112",FALSE,-7.99333333333334,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0724",2019,"32.2768056010092",FALSE,NA,NA,NA,"Fec:FALSE Tissue:NA"
"AA_0725",2019,"32.0489664447622",FALSE,-10.2166666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0726",2019,"30.7045686779884",FALSE,-9.53333333333333,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0728",2019,"29.4646062352086",FALSE,-8.77,TRUE,NA,"Fec:FALSE Tissue:TRUE"
"AA_0729",2019,"32.2724124623619",FALSE,-9.92666666666667,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0730",2019,"29.6586303566792",FALSE,-9.55333333333333,FALSE,NA,"Fec:FALSE Tissue:FALSE"
"AA_0732",2019,"31.5929566492145",FALSE,-8.35666666666667,TRUE,NA,"Fec:FALSE Tissue:TRUE"
